feature,mean_abs_shap
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation,0.0006667212078349219
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III,0.0006633007556275362
PWY66-399: gluconeogenesis III,0.0006593298717891703
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_tayi,0.000658950431077656
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans,0.0006583209566995619
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis",0.0006569678220549742
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II,0.0006569184218865039
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena,0.0006564082458003489
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus,0.000655058224328874
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_aldenense,0.0006525717794648406
PWY-6892: thiazole biosynthesis I (E. coli),0.0006507225439971381
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_coccoides,0.0006496411291629953
PWY-6305: putrescine biosynthesis IV,0.0006494666085112634
P122-PWY: heterolactic fermentation,0.0006474896632034643
PWY-6349: CDP-archaeol biosynthesis,0.0006432225520025704
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis,0.0006335231382282269
PWY-5971: palmitate biosynthesis II (bacteria and plants),0.0006324207373465387
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_variicola,0.000631527224534155
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation,0.0006309656341366873
PWY-6435: 4-hydroxybenzoate biosynthesis V,0.0006292208470029768
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA,0.0006274820487125508
PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis,0.0006259819549994235
PWY-6163: chorismate biosynthesis from 3-dehydroquinate,0.0006248179669428268
PWY-6168: flavin biosynthesis III (fungi),0.0006206410100762905
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_95,0.0006205556287340883
"PWY-7288: fatty acid &beta;-oxidation (peroxisome, yeast)",0.00061803065854868
PWY0-1297: superpathway of purine deoxyribonucleosides degradation,0.0006170073060165359
