feature,mean_abs_shap
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis",0.01910583
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii,0.018984513
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle),0.018792
PWY66-400: glycolysis VI (metazoan),0.0186401
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,0.018610805
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis,0.018487701
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila,0.018472703
THISYN-PWY: superpathway of thiamin diphosphate biosynthesis I,0.018368177
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_pectinoschiza,0.018338704
PWY-6113: superpathway of mycolate biosynthesis,0.018254085
PWY-6124: inosine-5'-phosphate biosynthesis II,0.018027311
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_parvulum,0.017893111
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli),0.017875021
PWY-6143: CMP-pseudaminate biosynthesis,0.017789204
TEICHOICACID-PWY: teichoic acid (poly-glycerol) biosynthesis,0.017735433
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,0.017704377
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium_D16,0.017689897
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II,0.017609471
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_242,0.01751031
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),0.01735178
PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),0.017142426
PWY66-422: D-galactose degradation V (Leloir pathway),0.01695919
PWY-7234: inosine-5'-phosphate biosynthesis III,0.016906422
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation,0.0168869
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,0.01687407
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis,0.016840573
